1-2;Team;Player;Updated 6/25/2025;Comp.;0;1;2;3;4
;;;;;17;Wolves (Pistons);Thomas Sorber;C – Georgetown – HT: 6-10 – WT: 263 – WING: 7-6 – Fr – Sorber is a big-bodied center with great length who impacts both ends and rebounds the heck out of the ball. A breakout star for the Hoyas this past season who showed some really nice stretches of play before ending his season early with a foot injury.;Jarrett Allen
;;;;;18;Wizards (Grizzlies);Danny Wolf;C – Michigan – HT: 6-11 – WT: 252 – WING: 7-2 1/4 – Jr – A very nimble, quick and skilled center who moves more like a guard than a big. Has good passing vision and a nice outside shot but can be a bit turnover prone.;Frank Kaminksy with extra sauce
;;;;;19;Nets (Bucks);Nolan Traore;"PG – France – HT: 6-4 – WT: 184 – WING: 6-8 – Int.06 – Traore is a high level point guard who can do it all; pass the rock, push the pace, hit the 3 and defend on the ball. He excels at getting into the lane and shows flashes of shot-making. After struggling early in the season Traore has played very well in April and May, lifting his draft stock back towards the lottery. Top 15 International Prospects";George Hill, Devin Harris
;;;;;20;Heat (Warriors);Nique Clifford;SF – Colorado State – HT: 6-6 – WT: 202 – WING: 6-8 – Sr. – A standout athlete, defender and connective passer who looks like a solid role player for a NBA team. As his 3pt shot improves it will keep opening up the rest of his offensive game.;Terence Mann, poor man’s Alex Caruso
;;;;;21;Jazz (Wolves);Rasheer Fleming;PF – St. Josephs – HT: 6-9 – WT: 232 – WING: 7-5 1/4 – Jr – Fleming has gone from being a big, athletic PF/C to a big stretch forward with a legit 3pt shot, making him an intriguing value in this draft. He’s a junior who is young for his class and is on a great trajectory. Measured extremely well at the combine and should come off the board in the mid first round.;a bouncy Markieff Morris
;;;;;22;Nets (Lakers);Asa Newell;PF – Georgia – HT: 6-10 – WT: 234 – WING: 6-11 1/4 – Fr – Newell is a hyper-active big forward with springs in his legs. He works hard on the court and does all the dirty work. Is very efficient with his touches and can hit the 3-ball. His stock is moving up. While he doesn’t have elite size he’s got a nice mix of athletic tools, talent and floor-spacing ability.;Joakim Noah, Trayce Jackson Davis
;;;;;23;Pelicans (Pacers);Liam McNeeley;SF – UConn – HT: 6-7 – WT: 215 – WING: 6-8 1/2 – Fr – McNeeley has had an up and down freshman season but has a crystal clear NBA projection as a big wing who can space the floor, be a connective passer and make plays within the flow of the offense. He’s limited with his offensive creativity and struggles to finish in the paint but his 3pt shot is impressive. I’m a big McNeeley fan but have some concerns about whether he can round out his game and become more of a complete offensive player.;“thunder” Dan Majerle, Corey Kispert
;;;;;24;Thunder (Clippers);Walter Clayton Jr.;SG – Florida – HT: 6-2 – WT: 199 – WING: 6-4 – Sr – A lethal 3pt shooter who can get red-hot from downtown. Is undersized for a scoring guard but can play on the ball a bit and is developing as an all around player. Changes the game with his scoring prowess.;Randolph Childress
;;;;;25;Magic (Nuggets);Jase Richardson;SG – Michigan State – HT: 6-2 – WT: 178 – WING: 6-6 – Fr – Jase had an awesome freshman season and lifted his draft stock into first round territory. But he measured at a less than ideal 6-0 1/2 (barefoot) which could limit his ceiling. He’s extremely efficient with his touches and always seems to make the right read. An analytics darling.;Delonte West+
;;;;;26;Nets (Knicks);Maxime Raynaud;C – Stanford (France) – HT: 7-1 – WT: 237 – WING: 7-1 1/4 – Sr – Big and fundamentally sound, Raynaud has good handles and ball skills for a 7-footer and can really shoot the rock. Moves well and has some big wing skills. Looks like he could fill a role in the NBA early in his career.;faster Brad Miller
;;;;;27;Nets (Rockets);Will Riley;SG – Illinois (Canada) – HT: 6-9 – WT: 186 – WING: 6-8 3/4 – Fr – Riley is one of the elite scorers in this draft and is emerging as a potential star. He’s a very high level shot-maker but struggles to guard and has major work to do on the defensive end. Has great size for a SG.;taller Reggie Bullock
;;;;;28;Celtics;Hansen Yang;C – China – HT: 7-2 – WT: 253 – WING: 7-2 3/4 – Int.05 – Big and skilled but lacking speed/quickness. Yang is a highly skilled passer and a unique offensive talent who can be an offensive hub. One of the winners of the 2025 NBA draft combine. Article;Marc Gasol lite
;;;;;29;Suns (Cavs);Ryan Kalkbrenner;C – Creighton – HT: 7-2 – WT: 257 -WING: 7-6 – Sr – One of the best shot blockers in college basketball. An old school big who rebounds and guards the paint. Could fill a role as a back-up big at the NBA level.;Kosta Koufos
;;;;;30;Clippers (Thunder);Hugo Gonzalez;SG – Spain – HT: 6-7 – WT: 223 – WING: 6-10 3/4 – Int.06 – Hugo plays a complete game and competes at a high level. He’s a talented shot maker, passer and has a special feel for the game. He moves well off the ball, is a great cutter and is a very capable play-maker/initiator as well. Measured very well with great height for his position and a near 6-11 wingspan. Top 15 International Prospects;Evan Fournier+
;;;;;–;;;;
