Player;Position;Updated;Injury;Injury Status
K. Caldwell-PopeKentavious Caldwell-Pope;SF;Thu, Feb 19;Finger;Expected to be out until at least Oct 1
T. HerroTyler Herro;PG;Mon, Apr 27;Foot;Expected to be out until at least Oct 1
B. AdebayoBam Adebayo;PF;Tue, Apr 14;Back;Expected to be out until at least Oct 1
N. JovicNikola Jovic;PF;Tue, Apr 14;Ankle;Expected to be out until at least Oct 1
D. SmithDru Smith;SG;Tue, Apr 14;Foot;Expected to be out until at least Oct 1
G. HarrisGary Harris;SG;Mon, Apr 13;Groin;Expected to be out until at least Oct 1
P. NancePete Nance;PF;Mon, Apr 13;Knee;Expected to be out until at least Oct 1
R. RollinsRyan Rollins;SG;Sun, Apr 12;Thumb;Expected to be out until at least Oct 1
G. AntetokounmpoGiannis Antetokounmpo;PF;Sat, Apr 11;Knee;Expected to be out until at least Oct 1
G. Trent Jr.Gary Trent Jr.;SF;Sat, Apr 11;Oblique;Expected to be out until at least Oct 1
M. TurnerMyles Turner;C;Sat, Apr 11;Ankle;Expected to be out until at least Oct 1
K. KuzmaKyle Kuzma;PF;Sat, Apr 11;Achilles;Expected to be out until at least Oct 1
B. PortisBobby Portis;PF;Sat, Apr 11;Wrist;Expected to be out until at least Oct 1
K. PorterKevin Porter;PG;Sat, Mar 28;Knee;Expected to be out until at least Oct 1
D. DiVincenzoDonte DiVincenzo;SG;Sun, Apr 26;Achilles;Out for the season
B. McGowensBryce McGowens;SG;Sat, Apr 11;Toe;Expected to be out until at least Oct 1
K. MatkovicKarlo Matkovic;PF;Sat, Apr 11;Back;Expected to be out until at least Oct 1
Y. MissiYves Missi;C;Sat, Apr 11;Hand;Expected to be out until at least Oct 1
D. MurrayDejounte Murray;PG;Sat, Apr 11;Hand;Expected to be out until at least Oct 1
T. Murphy IIITrey Murphy III;SF;Sat, Apr 11;Ankle;Expected to be out until at least Oct 1
Z. WilliamsonZion Williamson;PF;Sat, Apr 11;Knee;Expected to be out until at least Oct 1
