player_id,player_name,GP,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,MIN
1642363,Nique Clifford,75,8.6,3.8,2.4,0.9,0.3,1.5,0.418,0.333,0.722,25.1
1642855,Noa Essengue,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.0
1641730,Noah Clowney,135,10.1,4.0,1.2,0.6,0.6,1.2,0.395,0.332,0.802,23.6
1642869,Noah Penda,59,3.8,3.2,1.2,0.5,0.3,0.7,0.404,0.323,0.688,12.8
1642849,Nolan Traore,56,8.9,1.8,3.8,0.8,0.4,2.3,0.38,0.318,0.787,22.2
1626181,Norman Powell,675,14.0,2.7,1.6,0.8,0.3,1.3,0.471,0.396,0.824,24.7
1630167,Obi Toppin,386,8.7,3.5,1.3,0.4,0.3,0.7,0.521,0.355,0.786,17.3
1630534,Ochai Agbaji,263,7.2,2.7,1.1,0.6,0.4,0.7,0.448,0.339,0.755,21.1
1628384,OG Anunoby,559,13.3,4.5,1.7,1.3,0.6,1.4,0.476,0.377,0.774,30.6
1641765,Olivier-Maxence Prosper,145,5.9,2.7,0.8,0.5,0.2,0.5,0.481,0.348,0.706,13.1
1630209,Omer Yurtseven,122,4.9,4.5,0.7,0.2,0.3,0.7,0.529,0.196,0.655,11.8
1630168,Onyeka Okongwu,381,10.7,6.9,1.6,0.8,1.1,1.1,0.573,0.356,0.756,24.2
1631115,Orlando Robinson,115,4.6,3.8,1.2,0.3,0.3,0.7,0.473,0.347,0.754,13.2
1631131,Oscar Tshiebwe,49,7.0,6.5,0.9,0.6,0.1,0.6,0.613,0.0,0.636,15.2
1642345,Oso Ighodaro,143,5.5,4.5,1.8,0.7,0.6,1.0,0.637,0.0,0.491,20.0
1631172,Ousmane Dieng,166,5.4,2.5,1.5,0.4,0.2,0.8,0.423,0.314,0.72,14.7
1629023,P.J. Washington,446,13.3,6.0,2.2,1.0,1.0,1.6,0.448,0.354,0.705,30.6
1642359,Pacôme Dadiet,47,1.7,1.0,0.4,0.1,0.1,0.1,0.329,0.255,0.765,5.2
1631094,Paolo Banchero,270,22.3,7.4,4.8,0.8,0.6,3.0,0.449,0.317,0.743,34.5
